City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Gornopravdinsk,RU,60.05,69.9,24.55,86,100,7.81,overcast clouds
80,Stornoway,GB,58.2093,-6.3865,50,71,100,14.97,overcast clouds
81,Gayny,RU,60.3071,54.3241,39.25,78,27,10.4,scattered clouds
82,Khatanga,RU,71.9667,102.5,2.01,96,100,9.55,overcast clouds
83,Thompson,CA,55.7435,-97.8558,33.8,64,90,11.5,overcast clouds
84,Berbera,SO,10.4396,45.0143,82.24,78,95,6.17,overcast clouds
85,Portland,US,45.5234,-122.6762,77,25,0,1.99,clear sky
86,Garhi Yasin,PK,27.9069,68.511,80.6,57,0,12.21,haze
87,Kapaa,US,22.0752,-159.319,70,88,90,10.36,overcast clouds
88,Jalu,LY,29.0331,21.5482,95.4,7,19,10.78,few clouds
89,Luena,AO,-11.7833,19.9167,63.45,72,21,3.6,few clouds
90,Nsanje,MW,-16.92,35.262,67.42,94,100,4.27,light rain
91,Sonoita,MX,31.85,-112.8333,79,11,0,5.99,clear sky
92,Gerash,IR,27.6652,54.1371,75.2,20,0,4.61,clear sky
93,Ponta Do Sol,PT,32.6667,-17.1,62.01,62,100,3,overcast clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,40,9.22,scattered clouds
95,Upernavik,GL,72.7868,-56.1549,8.55,78,100,6.69,overcast clouds
96,Bor,RU,56.3567,44.0669,51.8,28,0,8.95,clear sky
97,Vanderhoof,CA,54.0166,-124.0198,51.6,77,89,3.98,overcast clouds
98,Kuloy,RU,61.0305,42.4925,41.02,74,9,5.14,clear sky
99,Tilichiki,RU,60.4667,166.1,18.72,88,99,8.01,overcast clouds
100,Puerto Ayora,EC,-0.7393,-90.3518,79,94,90,13.8,"light rain', 'drizzle rain"
101,Vaini,TO,-21.2,-175.2,69.8,88,20,4.61,few clouds
102,Cayenne,GF,4.9333,-52.3333,84.2,70,90,19.57,overcast clouds
103,Wexford,IE,52.3342,-6.4575,48,76,20,12.66,few clouds
104,Qui Nhon,VN,13.7667,109.2333,74.48,87,6,5.59,clear sky
105,Marzuq,YE,14.4,46.4667,70.83,54,0,5.55,clear sky
106,Batagay,RU,67.6333,134.6333,4.78,85,51,6.31,broken clouds
107,Whitianga,NZ,-36.8333,175.7,50,94,10,3.78,clear sky
108,Mareeba,AU,-17,145.4333,77,78,75,8.05,broken clouds
109,Tasiilaq,GL,65.6145,-37.6368,26.6,86,75,2.93,light rain
110,Nome,US,64.5011,-165.4064,32,93,90,8.05,"light snow', 'mist"
111,Xining,CN,36.6167,101.7667,41.18,43,0,0.76,clear sky
112,Puerto Varas,CL,-41.3195,-72.9854,59,77,90,8.05,overcast clouds
113,Ilulissat,GL,69.2167,-51.1,8.6,61,75,9.22,broken clouds
114,Ostrovnoy,RU,68.0531,39.5131,30.49,83,90,3.78,overcast clouds
115,Ogulin,HR,45.2661,15.2286,50,53,20,13.8,few clouds
116,Morgantown,US,39.6295,-79.9559,54,54,90,3.44,overcast clouds
117,Severnyy,RU,50.677,36.5532,44.6,76,0,8.95,clear sky
118,Prince Rupert,CA,54.3161,-130.3201,53.6,58,1,3.44,clear sky
119,Hermanus,ZA,-34.4187,19.2345,66,66,0,5.06,clear sky
120,Lebu,CL,-37.6167,-73.65,60.85,72,20,7.72,few clouds
121,Manado,ID,1.487,124.8455,78.8,94,20,1.14,few clouds
122,Haveli,PK,30.4502,73.6989,71.92,50,69,8.16,broken clouds
123,Seoul,KR,37.5683,126.9778,46.4,75,0,4.61,clear sky
124,Fort Nelson,CA,58.8053,-122.7002,42.8,70,75,13.8,"light snow', 'light rain"
125,La Serena,CL,-29.9078,-71.2542,62.6,72,40,11.5,scattered clouds
126,Airai,TL,-8.9266,125.4092,57.96,86,82,2.55,broken clouds
127,Half Moon Bay,US,37.4636,-122.4286,64.99,63,20,19.57,few clouds
128,Tautira,PF,-17.7333,-149.15,86,66,20,10.36,few clouds
129,Marabba,SD,12.35,32.1833,92.28,7,8,7.87,clear sky
130,Vardo,NO,70.3705,31.1107,32,100,75,6.91,mist
131,Ankang,CN,32.68,109.0172,57.99,34,100,8.99,overcast clouds
132,Guerrero Negro,MX,27.9769,-114.0611,65.82,58,2,18.95,clear sky
133,Hasaki,JP,35.7333,140.8333,59,94,75,5.75,broken clouds
134,Mildura,AU,-34.2,142.15,48,81,0,4.61,clear sky
135,Alofi,NU,-19.0595,-169.9187,68,94,10,1.14,clear sky
136,La Ronge,CA,55.1001,-105.2842,51.8,40,100,13.8,overcast clouds
137,Plettenberg Bay,ZA,-34.0527,23.3716,66.87,40,77,3.4,broken clouds
138,Lukovetskiy,RU,64.2956,41.9211,37.4,75,0,2.24,clear sky
139,Souillac,MU,-20.5167,57.5167,77,88,75,6.91,broken clouds
140,Kruisfontein,ZA,-34.0033,24.7314,62.67,47,81,3.71,broken clouds
141,Raudeberg,NO,61.9875,5.1352,44.01,58,0,4.54,clear sky
142,Barrow,US,71.2906,-156.7887,26.6,80,1,13.8,clear sky
143,Ataco,CO,3.5915,-75.3818,83.37,62,89,3.04,overcast clouds
144,Aktau,KZ,43.65,51.2,53.6,54,0,6.71,clear sky
145,Linkoping,SE,58.4109,15.6216,46.4,61,100,3.44,overcast clouds
146,Olafsvik,IS,64.8945,-23.7142,36.59,93,100,9.37,overcast clouds
147,Nizhniy Baskunchak,RU,48.2198,46.8311,52.07,80,94,9.35,overcast clouds
148,Qaqortoq,GL,60.7167,-46.0333,28.4,26,1,5.75,clear sky
149,New Norfolk,AU,-42.7826,147.0587,54,81,99,4,overcast clouds
150,Waipawa,NZ,-41.4122,175.5153,55.99,87,7,9.22,clear sky
151,Vao,NC,-22.6667,167.4833,75.2,73,40,16.02,scattered clouds
152,Praia Da Vitoria,PT,38.7333,-27.0667,71.6,60,20,9.95,few clouds
153,Fuente De Oro,CO,3.4594,-73.6128,72.43,96,100,0.92,overcast clouds
154,Castro,BR,-24.7911,-50.0119,66.31,85,99,4.99,overcast clouds
155,Marinette,US,45.1,-87.6307,51.8,35,1,11.5,clear sky
156,Amapa,BR,1,-52,78.84,95,93,3.89,moderate rain
157,Cairns,AU,-16.9167,145.7667,77,78,75,8.05,broken clouds
158,Beloha,MG,-25.1667,45.05,65.73,49,78,9.1,broken clouds
159,San Cristobal,VE,7.7669,-72.225,95,38,40,17.27,scattered clouds
160,Kuruman,ZA,-27.4524,23.4325,65.73,31,39,2.3,scattered clouds
161,Constitucion,CL,-35.3333,-72.4167,62.44,72,75,6.2,broken clouds
162,Hualmay,PE,-11.0964,-77.6139,73.2,73,24,10.02,few clouds
163,Byron Bay,AU,-28.65,153.6167,60.8,82,90,10.36,overcast clouds
164,Codrington,AU,-38.2667,141.9667,52.36,92,21,6.98,few clouds
165,Pochutla,MX,15.7432,-96.4661,88,62,75,11.5,broken clouds
166,Cabo San Lucas,MX,22.8909,-109.9124,86,32,1,6.91,clear sky
167,Eppingen,DE,49.1369,8.9103,46,78,100,5.12,overcast clouds
168,Grand Gaube,MU,-20.0064,57.6608,78.01,86,17,1.01,few clouds
169,Esperance,AU,-33.8667,121.9,55.4,82,0,11.5,clear sky
170,Balkanabat,TM,39.5108,54.3671,72.14,30,7,3.02,clear sky
171,Aromashevo,RU,56.8602,68.6375,38.88,65,26,6.38,scattered clouds
172,Bayan,CN,46.0833,127.4,36.91,87,10,4.14,clear sky
173,Grants Pass,US,42.439,-123.3284,73,21,1,3.96,clear sky
174,Buhe,CN,30.2876,112.2298,62.01,66,100,4.97,overcast clouds
175,Babushkin,RU,51.7122,105.8647,30.56,96,100,17.07,snow
176,Maldonado,UY,-34.6667,-54.9167,73.4,68,40,13.8,scattered clouds
177,Kizema,RU,61.113,44.8302,38.03,80,16,4.72,few clouds
