City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Ginir,ET,2021-04-08 19:47:10,7.1333,40.7,59.54,51,1,5.03
67,Vilyuysk,RU,2021-04-08 19:49:48,63.7553,121.6247,15.87,94,100,7.74
68,Port Blair,IN,2021-04-08 19:46:56,11.6667,92.75,80.56,75,6,0.92
69,Castro,BR,2021-04-08 19:49:48,-24.7911,-50.0119,68.81,67,83,6.58
70,Hermanus,ZA,2021-04-08 19:49:49,-34.4187,19.2345,64.99,77,6,8.99
71,Bima,ID,2021-04-08 19:45:18,-8.4667,118.7167,75.52,94,100,4.61
72,Ahipara,NZ,2021-04-08 19:49:49,-35.1667,173.1667,63.5,83,100,8.01
73,Anadyr,RU,2021-04-08 19:49:50,64.75,177.4833,-13.0,77,0,4.47
74,Chicama,PE,2021-04-08 19:49:50,-7.8447,-79.1469,69.8,83,20,14.97
75,Villacarrillo,ES,2021-04-08 19:49:50,38.1156,-3.0848,57.31,57,100,2.84
76,Kaitangata,NZ,2021-04-08 19:49:51,-46.2817,169.8464,48.99,97,1,4.0
77,Hilo,US,2021-04-08 19:49:51,19.7297,-155.09,75.2,64,20,12.66
78,Carnarvon,AU,2021-04-08 19:49:52,-24.8667,113.6333,73.4,83,70,12.66
79,Saskylakh,RU,2021-04-08 19:49:52,71.9167,114.0833,-15.07,99,100,6.87
80,Khatanga,RU,2021-04-08 19:49:52,71.9667,102.5,-25.11,100,100,3.0
81,San Quintin,MX,2021-04-08 19:49:53,30.4833,-115.95,69.33,55,2,17.94
82,Vila Franca Do Campo,PT,2021-04-08 19:49:53,37.7167,-25.4333,60.8,82,40,19.57
83,Iskateley,RU,2021-04-08 19:49:54,67.6803,53.1512,37.69,94,97,24.32
84,Palmer,US,2021-04-08 19:49:54,42.1584,-72.3287,73.0,33,40,5.12
85,Touros,BR,2021-04-08 19:49:54,-5.1989,-35.4608,86.0,58,20,12.66
86,Necochea,AR,2021-04-08 19:48:10,-38.5473,-58.7368,62.01,95,100,15.99
87,Taoudenni,ML,2021-04-08 19:49:55,22.6783,-3.9836,89.2,10,0,8.77
88,Alofi,NU,2021-04-08 19:49:55,-19.0595,-169.9187,73.4,94,53,2.3
89,Harper,LR,2021-04-08 19:49:56,4.375,-7.7169,80.29,84,9,6.2
90,Kapaa,US,2021-04-08 19:49:56,22.0752,-159.319,75.2,57,40,14.97
91,Ponta Do Sol,PT,2021-04-08 19:47:35,32.6667,-17.1,61.0,77,95,1.01
92,Sitka,US,2021-04-08 19:49:57,57.0531,-135.33,35.6,87,90,23.02
93,Agnibilekrou,CI,2021-04-08 19:49:57,7.1344,-3.2047,72.81,92,100,7.29
94,Thinadhoo,MV,2021-04-08 19:49:58,0.5333,72.9333,82.17,73,19,13.11
95,Te Anau,NZ,2021-04-08 19:48:28,-45.4167,167.7167,45.36,90,22,2.59
96,Paamiut,GL,2021-04-08 19:47:57,61.994,-49.6678,34.75,74,100,23.06
97,Matara,LK,2021-04-08 19:49:58,5.9485,80.5353,76.53,85,13,3.94
98,Leh,IN,2021-04-08 19:49:58,34.1667,77.5833,27.66,39,32,5.17
99,Ribeira Grande,PT,2021-04-08 19:49:59,38.5167,-28.7,60.8,77,40,16.11
100,Boguchany,RU,2021-04-08 19:49:59,58.3814,97.4531,26.42,99,63,2.57
101,Sayansk,RU,2021-04-08 19:50:00,54.1088,102.1648,28.2,96,100,2.84
102,Broome,US,2021-04-08 19:50:00,42.2506,-75.833,71.01,32,1,10.36
103,Tsurib,RU,2021-04-08 19:50:01,42.2368,46.8307,46.71,64,0,11.36
104,Lorengau,PG,2021-04-08 19:50:01,-2.0226,147.2712,81.97,81,100,13.6
105,Sinnamary,GF,2021-04-08 19:50:01,5.3833,-52.95,76.01,91,100,9.62
106,Sur,OM,2021-04-08 19:50:02,22.5667,59.5289,79.86,57,0,10.94
107,Bethel,US,2021-04-08 19:49:13,41.3712,-73.414,73.99,33,1,5.97
108,Tuktoyaktuk,CA,2021-04-08 19:50:02,69.4541,-133.0374,-13.0,70,20,6.2
109,Qaanaaq,GL,2021-04-08 19:50:03,77.484,-69.3632,11.35,71,100,2.28
110,Provost,CA,2021-04-08 19:50:03,52.3501,-110.2683,35.6,100,100,18.41
111,Karratha,AU,2021-04-08 19:50:04,-20.7377,116.8463,82.9,72,87,12.62
112,Otofuke,JP,2021-04-08 19:50:04,42.9917,143.2003,28.36,56,0,5.35
113,Cherskiy,RU,2021-04-08 19:50:05,68.75,161.3,-5.62,95,55,5.73
114,Kichera,RU,2021-04-08 19:45:20,55.9375,110.0997,26.98,89,91,4.12
115,Vila Velha,BR,2021-04-08 19:48:11,-20.3297,-40.2925,77.0,88,40,4.61
116,Lagoa,PT,2021-04-08 19:50:05,39.05,-27.9833,58.91,88,5,20.69
117,Cordele,US,2021-04-08 19:50:06,31.9635,-83.7824,78.01,53,75,13.8
118,Hofn,IS,2021-04-08 19:50:06,64.2539,-15.2082,24.84,55,100,21.65
119,Iqaluit,CA,2021-04-08 19:50:07,63.7506,-68.5145,37.4,65,90,5.75
